username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
amitabhkrfrmpat,15-06-2016 21:34,0,0,"Ultimate insult..arnab just said someone.. ""a blind follower of #AAP "".",,,#AAP,7.43E+17,https://twitter.com/amitabhkrfrmpat/status/743112059370377216
UdhampurDeepak,15-06-2016 20:38,0,0,@AashishKhetan ...sir u never told that u r a follower of Christianity....n with a fake HINDU name..... u r the biggest liar of AAP .,,@AashishKhetan,,7.43E+17,https://twitter.com/UdhampurDeepak/status/743097934430900224
BanarasiBabu3,15-06-2016 20:36,0,1,@sanjayforwardbl Babu moshay aap aur Ramvriksha me ek samanata hei. Dono Netaji k follower hei but Netaji k adarsho ko atmasaat nahi karte.,,@sanjayforwardbl,,7.43E+17,https://twitter.com/BanarasiBabu3/status/743097319365611520
sandeeppandey87,15-06-2016 19:41,0,0,@AAPHarsh1 @ssudhirkumar that's the reason why u r the follower of AAP . Coz u don't want to listen to anything.,,@AAPHarsh1 @ssudhirkumar,,7.43E+17,https://twitter.com/sandeeppandey87/status/743083540221464576
mylaw252,15-06-2016 14:29,1,1,"@BJP4Nation @sardesairajdeep he is an ardent follower of AK and AAP , so naturally he inherited all the bad behaviour of AK ? no surprise !",,@BJP4Nation @sardesairajdeep,,7.43E+17,https://twitter.com/mylaw252/status/743005024175853568
mharo_rajasthan,15-06-2016 00:12,0,0,"RoflGandhi_ big fan sir, bt jab aap low follower count wale fuel supplier ki family par chale jate ho toh irritate karta hai.",,,,7.43E+17,https://twitter.com/mharo_rajasthan/status/742789287507316736
dimpleinsan29,14-06-2016 20:47,4,1,#MSGsTrueBloodPump @Gurmeetramrahim Superb craze h aap Ji k follower me sewa bhawana ka pic.twitter.com/UjDVAibfdL,,@Gurmeetramrahim,#MSGsTrueBloodPump,7.43E+17,https://twitter.com/dimpleinsan29/status/742737641838350336
Naveenalliance,14-06-2016 18:37,0,0,@KalrajMishra @DDNewsLive @minmsme UP me aage aaiye kab tak pichhlaggoo bane rahenge aap ...kya Brahman ab follower ho gaya hai ?,,@KalrajMishra @DDNewsLive @minmsme,,7.43E+17,https://twitter.com/Naveenalliance/status/742705107867832320
nareshbgadia,13-06-2016 23:12,0,0,"@kamaalrkhan @ArvindKejriwal I am not #AAP follower . atleast maths toh samajiye, even after this they have #majority .",,@kamaalrkhan @ArvindKejriwal,#AAP #majority,7.42E+17,https://twitter.com/nareshbgadia/status/742411743557615616
realomji,13-06-2016 21:17,0,0,Aap sach me Modi Follower ho unki baat maan kr CM ka jo kaam hota hai wo aapne karna hi chhod diya @ArvindKejriwal,,@ArvindKejriwal,,7.42E+17,https://twitter.com/realomji/status/742382861840490497
