username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,
Melvin_Udall_,2016-12-15 09:36,0,1,"@byrdturgler Yet another no follower account? Let intel prove to Congress Oversight. Then Congress will decide. The end. Shoo, leftist.",,@byrdturgler,,8.09248359726858E+017,https://twitter.com/Melvin_Udall_/status/809248359726858240,,
indiantweeter,2016-12-15 00:15,3,10,After having 30K follower count I will join congress with all my followers,,,,8.09107081605194E+017,https://twitter.com/indiantweeter/status/809107081605193728,,
Congress_pen,2016-12-14 23:34,0,0,I gained 1 follower in the last day. You? Know your stats and grow with http://www. crowdfireapp.com/?r=td,,,,8.09096795833958E+017,https://twitter.com/Congress_pen/status/809096795833958400,,
BarkhurdarAchak,2016-12-14 15:58,0,2,"@rizwarned Not today. He once called me a Congress supporter, Bacha Khan's follower and a Hur (Ahrar) all at once.",,@rizwarned,,8.08981994298294E+017,https://twitter.com/BarkhurdarAchak/status/808981994298294272,,
I_YogiVerma,2016-12-14 12:31,0,0,"@RishiBhoomihar @KirenRijiju @priyankac19 hahaha achha ok congress illiterate die hard follower ,,",,@RishiBhoomihar @KirenRijiju @priyankac19,,8.08929833577222E+017,https://twitter.com/I_YogiVerma/status/808929833577222145,,
Congress_pen,2016-12-13 23:34,0,0,Number crunching for the past day - 1 new follower and NO unfollowers. Stats via http://www. crowdfireapp.com/?r=td,,,,8.08734413429285E+017,https://twitter.com/Congress_pen/status/808734413429284864,,
asmoorthi2006,2016-12-13 23:33,0,0,@drtamilisaibjp #Congress s synonymous of #corruption #PChidambaram s the direct follower of corruption as a legent of corruption congress,,@drtamilisaibjp,#Congress #corruption #PChidambaram,8.08734116283904E+017,https://twitter.com/asmoorthi2006/status/808734116283904001,,
JagritiChauhan3,2016-12-13 11:34,2,2,@nirbhaybaghel97 @A_P_75 @abhiagrawal97 he is not congress follower . He is some aapiya doing his cheap promotion of aap,,@nirbhaybaghel97 @A_P_75 @abhiagrawal97,,8.08553228921111E+017,https://twitter.com/JagritiChauhan3/status/808553228921110528,,
AnonAdmi,2016-12-13 11:29,0,0,"@smitaprakash it does not make me a bhakt, i.e., an irrational follower to call the Congress traitors or sell outs, it is 'rational'.",,@smitaprakash,,8.08551886047433E+017,https://twitter.com/AnonAdmi/status/808551886047432704,,
abhiagrawal97,2016-12-13 10:12,24,12,#AAPCares I Am a Congress follower but I Am astonished by the work AAP is doing nd I condemn bjp fr usin it dept. To defame AAP nd kejriwal,,,#AAPCares,8.08532537953894E+017,https://twitter.com/abhiagrawal97/status/808532537953894403,,
