username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,,,
SuzanneLaughrin,2016-12-30 03:45,0,0,Captain Amarinder Singh dares Kejriwal to contest Punjab polls in Twitter argument,,,,8.14595840132031E+017,https://twitter.com/SuzanneLaughrin/status/814595840132030464,,,
ZakiAdam77,2016-12-30 03:33,1,0,amazing arvind kejriwal the real nayak: https:// youtu.be/I8_l9NikD5Q,,,,8.14592723693044E+017,https://twitter.com/ZakiAdam77/status/814592723693043714,,,
MadhupMohta,2016-12-30 03:31,0,0,Public: Delhi mein wifi diya? Kejriwal : Abhi tak nahi.... Public: 15 lakh CCTV cameras lagaye? Kejriwal : Arey kya... http:// fb.me/8y63uCr4P,,,,8.14592157076115E+017,https://twitter.com/MadhupMohta/status/814592157076115456,,,
Shikarihu,2016-12-30 03:31,0,0,@capt_amarinder do you have any shame for challenging CM of Delhi...how about if Kejriwal challenge you to run for Delhi how would you react,,@capt_amarinder,,8.14592110619832E+017,https://twitter.com/Shikarihu/status/814592110619832321,,,
NewsBossIndia,2016-12-30 03:29,0,0,"Twitter Face-off with Amarinder Singh: Not fighting Punjab polls, tweets Arvind Kejriwal .. http:// indianexpress.com/article/india/ amarinder-singh-arvind-kejriwal-punjab-elections-twitter-face-off-4451125/ …",,,,8.14591625657664E+017,https://twitter.com/NewsBossIndia/status/814591625657663490,,,
AnjaniShahi,2016-12-30 03:24,3,2,"@Neilhaslam90 is exposing @AamAadmiParty with facts, Kejriwal is world's best fraud and naysayer, his politics is based on cheating.",,@Neilhaslam90 @AamAadmiParty,,8.14590565048349E+017,https://twitter.com/AnjaniShahi/status/814590565048348672,,,
sumitsancheti,2016-12-30 03:19,0,0,"@RajatSharmaLive @ArvindKejriwal I`m not a supporter of Mr. Kejriwal , but the show clearly states for you didnt wanted him to prove his stand",,@RajatSharmaLive @ArvindKejriwal,,8.14589116742451E+017,https://twitter.com/sumitsancheti/status/814589116742451204,,,
nidhish22garg,2016-12-30 03:10,0,0,"""Don't Run Away, Come, Explain The Funding of Your Party"" Yogendra Yadav Challenges Arvind Kejriwal http:// fb.me/8nr4gRw0L",,,,8.14587021662372E+017,https://twitter.com/nidhish22garg/status/814587021662371840,,,
2GuessWhat4,2016-12-30 03:08,0,0,"Twitter Face-off with Amarinder Singh: Not fighting Punjab polls, tweets Arvind Kejriwal http:// dlvr.it/N08RcN pic.twitter.com/C2BIQSw1xe",,,,8.14586336459956E+017,https://twitter.com/2GuessWhat4/status/814586336459956224,,,
MechanicalBaba,2016-12-30 03:08,0,0,"#India Twitter Face-off with Amarinder Singh: Not fighting Punjab polls, tweets Arvind Kejriwal",,,#India,8.14586329254142E+017,https://twitter.com/MechanicalBaba/status/814586329254141952,,,
3NovicesHyd,2016-12-30 03:01,0,0,"#3Novices : Twitter Face-off with Amarinder Singh: Not fighting Punjab polls, tweets Arvind Kejriwal December 30, 2016 at 02:55AM …",,,#3Novices,8.14584573552169E+017,https://twitter.com/3NovicesHyd/status/814584573552168961,,,
Save_GauMata,2016-12-30 02:58,0,0,@ramprasad_love @AnupamPkher tera bàap kya kejriwal ka pilla hai kya bc,,@ramprasad_love @AnupamPkher,,8.14583787669639E+017,https://twitter.com/Save_GauMata/status/814583787669639168,,,
poddarmahesh17,2016-12-30 02:57,0,0,@AdityaRajKaul Barak Obama behaving like Kejriwal . He is making life difficult for Trump at the cost of America's interest.,,@AdityaRajKaul,,8.14583625765134E+017,https://twitter.com/poddarmahesh17/status/814583625765134336,,,
digitalmind369,2016-12-30 02:56,0,0,Arnab Goswami Trolled Arvind Kejriwal on demonetisation at IIT Bombay ! #biggboss #bb10 #BB10 #BiggBoss10 https:// youtu.be/-D1XmQHjEUk @YouTube,,@YouTube,#biggboss #bb10 #BB10 #BiggBoss10,8.14583294226559E+017,https://twitter.com/digitalmind369/status/814583294226558976,,,
