username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
psyntist84,2016-02-10 00:01,0,0,@MehrTarar @narendramodi I am a bjp follower and let me tell you ch*tiye hai saare abusive idiots. Ignore the fools.,,@MehrTarar @narendramodi,,6.97125767176712E+017,https://twitter.com/psyntist84/status/697125767176712193,
Ashishpdixit,2016-02-08 20:43,0,0,@swesingh007 #Bilive in nation first #hinduvadi #Bjp supporter #rss follower #Bilive in swadeshi #& Bilive in Indian culture##,,@swesingh007,#Bilive #hinduvadi #Bjp #rss #Bilive # # #,6.96713582805852E+017,https://twitter.com/Ashishpdixit/status/696713582805852160,
tumourinhumor,2016-02-07 23:50,0,0,@CatWomaniya I have had terrible experience with a fake account of a bjp follower .. duh,,@CatWomaniya,,6.96398077372961E+017,https://twitter.com/tumourinhumor/status/696398077372960769,
vineet8390,2016-02-07 23:47,0,0,@mlkhattar sir i am big follower of bjp want to ask you a que regarding the ideology of bjp working like one hand you ban the cow killing,,@mlkhattar,,6.96397291754693E+017,https://twitter.com/vineet8390/status/696397291754692608,
SantoshPandey_1,2016-02-07 14:27,0,1,"@msisodia is far better than @ArvindKejriwal , I am a BJP follower but impressed by sisodia, I hope kejariwal will be next Anna & sisodia CM",,@msisodia @ArvindKejriwal,,6.96256348149797E+017,https://twitter.com/SantoshPandey_1/status/696256348149796865,
sanjaisharma17,2016-02-06 14:40,0,0,"@murugadassanbjp welcome sir,I am also blind follower of bjp",,@murugadassanbjp,,6.95897356592554E+017,https://twitter.com/sanjaisharma17/status/695897356592553984,
razab_bakhsh,2016-02-06 02:39,0,0,"@ibnlive It was wrong decision taken PDP to form govt. with BJP who believed in hindutta, anti minorities stand and follower of RSS.",,@ibnlive,,6.95715982338236E+017,https://twitter.com/razab_bakhsh/status/695715982338236416,
siddhpuraparesh,2016-02-05 23:16,0,0,"@nitin_gadkari @nitin_gadkari dear sir, I am big follower of BJP & Mr Modi.i am very much impress with your working style as well.",,@nitin_gadkari @nitin_gadkari,,6.9566479230072E+017,https://twitter.com/siddhpuraparesh/status/695664792300720128,
Shahruk21141252,2016-02-05 08:15,0,2,@SampatScl_ BJP आपको पता नही होगा लेकिन मै भि B J P FOLLOWER हु. और एक अच्छा और शान्त देश चाहता हू शुक्रिआ SAMPAT JI,,@SampatScl_,,6.95438128757125E+017,https://twitter.com/Shahruk21141252/status/695438128757125120,
gnanavallal_r,2016-02-04 16:00,0,0,@Bjp _ahmedabadd Thanks for follower . I like very much PM Modi g especially Pm speech.,,@Bjp,,6.95192774224667E+017,https://twitter.com/gnanavallal_r/status/695192774224666624,
bharat_builder,2016-02-04 00:00,185,92,"My Doctor relative, an ardent follower of Modi, got tired of MCD today and called it ""Maha Chor/Corrupt Department"". BJP is losing it badly",,,,6.94951164249395E+017,https://twitter.com/bharat_builder/status/694951164249395200,
dolbhi,2016-02-03 21:08,0,0,Bhaag Basanti Bhaag...you promised development for Mathura and you are a Krishna follower why not there... BJP Vaadra.. #HemaLand,,,#HemaLand,6.94907927799267E+017,https://twitter.com/dolbhi/status/694907927799267329,
vasishtsarathi,2016-02-03 20:27,0,0,@Swamy39 @raghu_ny What u said is 100% correct. Try for BJP +DMK+DMDK alliance. It will help BJP in the long run. I am not a DMK follower,,@Swamy39 @raghu_ny,,6.94897551468663E+017,https://twitter.com/vasishtsarathi/status/694897551468662788,
beingriazshq,2016-02-03 05:41,0,0,@abasitpak1 @DrunkVinodMehta @AnupamPkher all just drama his ideology party bjp n Rss n shivsena n his follower will gt angry n kick him out,,@abasitpak1 @DrunkVinodMehta @AnupamPkher,,6.94674606905561E+017,https://twitter.com/beingriazshq/status/694674606905561090,
GokulSS11,2016-02-02 19:54,0,1,@narendramodi proud to be a follower of BJP,,@narendramodi,,6.94526872256909E+017,https://twitter.com/GokulSS11/status/694526872256909313,
ZoneExpert,2016-02-02 14:56,0,1,"@Ojasofficial Na, I am not a blind follower of BJP . In some cases they too do a lot of fooling around. But Yeah it is far better than cong.",,@Ojasofficial,,6.94451770798375E+017,https://twitter.com/ZoneExpert/status/694451770798374912,
urvishmehta1975,2016-02-02 09:36,0,0,@narendramodi sir i am thorough follower of you pls avoid unnecessary provokes by other bjp leaders that set back yrs image,,@narendramodi,,6.94371329479463E+017,https://twitter.com/urvishmehta1975/status/694371329479462912,
manishdubey_BJP,2016-02-01 16:38,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,6.94115200333578E+017,https://twitter.com/manishdubey_BJP/status/694115200333578240,
UPCM_Follower,2016-02-01 13:17,0,0,@ayaskantdasTOI Maybe they are only supporting BJP ruled states.,,@ayaskantdasTOI,,6.94064459090829E+017,https://twitter.com/UPCM_Follower/status/694064459090829312,
kirankonnects01,2016-02-01 11:15,0,1,Like u r bjp follower brand every tdp supporter casteist Go fly kite https:// twitter.com/data1008/statu s/694033246326296576 …,,,,6.94033867603182E+017,https://twitter.com/kirankonnects01/status/694033867603181572,
BJP_ka_Amit,2016-01-31 21:19,0,0,"@AmitShah @sardesairajdeep Abbe Motu, Fake Twitter follower turant delete karo. Party badnam ho raha hain tere karan pic.twitter.com/LYGz0zTJmv",,@AmitShah @sardesairajdeep,,6.93823415115862E+017,https://twitter.com/BJP_ka_Amit/status/693823415115862016,
adi_adulate,2016-01-31 14:14,0,0,@IacShail @ashishyadav16 @BJP4India @AamAadmiParty @Ikumar7 hahahaha I was waiting fr some blind follower to blame Modi/ BJP for this raita.,,@IacShail @ashishyadav16 @BJP4India @AamAadmiParty @Ikumar7,,6.93716458430288E+017,https://twitter.com/adi_adulate/status/693716458430287872,
Junnyslife047,2016-01-30 21:48,0,0,"@AnupamPkher , an actors biggest reward or gift is a ""fan, follower "" bt since now u are batting for BJP , an inside hate is dvlopd in me.1/2",,@AnupamPkher,,6.93468389549814E+017,https://twitter.com/Junnyslife047/status/693468389549813761,
manishdubey_BJP,2016-01-30 16:37,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,6.93390152471704E+017,https://twitter.com/manishdubey_BJP/status/693390152471703553,
Aaditya_BJP,2016-01-30 16:27,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,6.93387585285022E+017,https://twitter.com/Aaditya_BJP/status/693387585285021696,
Depppjj,2016-01-30 14:32,0,0,@TimesNow Look who is talking. His very existence in the BJP is to appease follower of a particular religion and he is sermonizing congress.,,@TimesNow,,6.93358614409515E+017,https://twitter.com/Depppjj/status/693358614409515008,
Insaafkataraju,2016-01-30 09:39,0,0,@sanjay_dimpy ab bhi koi shak. BJP bilkul nangi ho gayi hai. IEven BJP hardcore follower have started hating them.,,@sanjay_dimpy,,6.93284876393411E+017,https://twitter.com/Insaafkataraju/status/693284876393410560,
AK_4_PM2019,2016-01-30 08:54,1,0,#MahatmaGandhi कैसा लग रहा होगा तुझे । आज तेरे नाम से BJP कांग्रेस अपने आप को #MahatmaGandhi का FOLLOWER बतायेगे मगर मानते नही हेहेहेह,,,#MahatmaGandhi #MahatmaGandhi,6.93273455265853E+017,https://twitter.com/AK_4_PM2019/status/693273455265853440,
